Vote,Country,First,Second,Third
Captain,Afghanistan,Cristiano Ronaldo,Messi Lionel,Modric Luka
Captain,Albania,Messi Lionel,Salah Mohamed,Modric Luka
Captain,Algeria,Cristiano Ronaldo,Modric Luka,Salah Mohamed
Captain,American Samoa,Mbappe Kylian,Modric Luka,Griezmann Antoine
Captain,Andorra,Modric Luka,Mbappe Kylian,Griezmann Antoine
Captain,Angola,Messi Lionel,Cristiano Ronaldo,Modric Luka
Captain,Argentina,Modric Luka,Mbappe Kylian,Cristiano Ronaldo
Captain,Armenia,Modric Luka,Mbappe Kylian,Cristiano Ronaldo
Captain,Aruba,Modric Luka,Mbappe Kylian,Hazard Eden
Captain,Australia,Modric Luka,Cristiano Ronaldo,Salah Mohamed
Captain,Austria,Modric Luka,Griezmann Antoine,Hazard Eden
Captain,Azerbaijan,Cristiano Ronaldo,Salah Mohamed,Messi Lionel
Captain,Bahamas,Messi Lionel,Salah Mohamed,Mbappe Kylian
Captain,Bahrain,Cristiano Ronaldo,Messi Lionel,Modric Luka
Captain,Bangladesh,Cristiano Ronaldo,Messi Lionel,Modric Luka
Captain,Belarus,Hazard Eden,Mbappe Kylian,Modric Luka
Captain,Belgium,Modric Luka,Varane Raphael,Mbappe Kylian
Captain,Bermuda,Cristiano Ronaldo,Messi Lionel,Salah Mohamed
Captain,Bhutan,Modric Luka,De Bruyne Kevin,Kane Harry
Captain,Bolivia,Hazard Eden,Modric Luka,Cristiano Ronaldo
Captain,Bosnia and Herzegovina,Modric Luka,Salah Mohamed,Cristiano Ronaldo
Captain,Brazil,Cristiano Ronaldo,Mbappe Kylian,Messi Lionel
Captain,British Virgin Islands,Mbappe Kylian,Griezmann Antoine,Modric Luka
Captain,Brunei Darussalam,Cristiano Ronaldo,Mbappe Kylian,Salah Mohamed
Captain,Bulgaria,Modric Luka,Griezmann Antoine,Cristiano Ronaldo
Captain,Burkina Faso,Salah Mohamed,Cristiano Ronaldo,Mbappe Kylian
Captain,Burundi,Modric Luka,Cristiano Ronaldo,Salah Mohamed
Captain,Cambodia,Cristiano Ronaldo,Mbappe Kylian,Modric Luka
Captain,Canada,Modric Luka,Cristiano Ronaldo,Salah Mohamed
Captain,Cape Verde Islands,Cristiano Ronaldo,Modric Luka,Messi Lionel
Captain,Cayman Islands,Salah Mohamed,Cristiano Ronaldo,Kane Harry
Captain,Chad,Salah Mohamed,Mbappe Kylian,Cristiano Ronaldo
Captain,Chile,Modric Luka,Messi Lionel,Griezmann Antoine
Captain,China PR,Cristiano Ronaldo,Modric Luka,Hazard Eden
Captain,Chinese Taipei,Hazard Eden,Griezmann Antoine,Mbappe Kylian
Captain,Colombia,Modric Luka,Cristiano Ronaldo,Mbappe Kylian
Captain,Comoros,Cristiano Ronaldo,Mbappe Kylian,Griezmann Antoine
Captain,Congo,Cristiano Ronaldo,Modric Luka,Salah Mohamed
Captain,Congo DR,Hazard Eden,De Bruyne Kevin,Modric Luka
Captain,Costa Rica,Cristiano Ronaldo,Modric Luka,Griezmann Antoine
Captain,Cote d'Ivoire,Cristiano Ronaldo,Varane Raphael,Modric Luka
Captain,Croatia,Varane Raphael,Cristiano Ronaldo,Griezmann Antoine
Captain,Cuba,Modric Luka,Cristiano Ronaldo,Mbappe Kylian
Captain,Cyprus,Modric Luka,Salah Mohamed,Mbappe Kylian
Captain,Czech Republic,Cristiano Ronaldo,Messi Lionel,Salah Mohamed
Captain,Denmark,Modric Luka,Cristiano Ronaldo,Varane Raphael
Captain,Dominica,Modric Luka,Cristiano Ronaldo,Kane Harry
Captain,Dominican Republic,De Bruyne Kevin,Cristiano Ronaldo,Griezmann Antoine
Captain,Ecuador,Messi Lionel,Cristiano Ronaldo,Modric Luka
Captain,Egypt,Salah Mohamed,Modric Luka,Cristiano Ronaldo
Captain,El Salvador,Modric Luka,Messi Lionel,Cristiano Ronaldo
Captain,England,Cristiano Ronaldo,Messi Lionel,De Bruyne Kevin
Captain,Equatorial Guinea,Messi Lionel,Mbappe Kylian,Griezmann Antoine
Captain,Estonia,Salah Mohamed,Modric Luka,Griezmann Antoine
Captain,Ethiopia,Cristiano Ronaldo,Messi Lionel,Salah Mohamed
Captain,Faroe Islands,Modric Luka,Cristiano Ronaldo,Messi Lionel
Captain,Fiji,Modric Luka,Griezmann Antoine,De Bruyne Kevin
Captain,Finland,Modric Luka,Cristiano Ronaldo,Messi Lionel
Captain,France,Varane Raphael,Griezmann Antoine,Mbappe Kylian
Captain,FYR Macedonia,Modric Luka,Griezmann Antoine,Cristiano Ronaldo
Captain,Gambia,Varane Raphael,Salah Mohamed,Modric Luka
Captain,Georgia,Modric Luka,Cristiano Ronaldo,Messi Lionel
Captain,Germany,Hazard Eden,Modric Luka,Varane Raphael
Captain,Gibraltar,Salah Mohamed,Modric Luka,Cristiano Ronaldo
Captain,Greece,Modric Luka,Cristiano Ronaldo,Messi Lionel
Captain,Guam,Modric Luka,Cristiano Ronaldo,De Bruyne Kevin
Captain,Guatemala,Cristiano Ronaldo,Hazard Eden,Griezmann Antoine
Captain,Guinea,Modric Luka,Griezmann Antoine,Mbappe Kylian
Captain,Guinea-Bissau,Modric Luka,Cristiano Ronaldo,Salah Mohamed
Captain,Haiti,Mbappe Kylian,De Bruyne Kevin,Modric Luka
Captain,Honduras,Messi Lionel,Cristiano Ronaldo,Modric Luka
Captain,Hong Kong,Modric Luka,Varane Raphael,Mbappe Kylian
Captain,Hungary,Modric Luka,Cristiano Ronaldo,Griezmann Antoine
Captain,Iceland,Modric Luka,Cristiano Ronaldo,Varane Raphael
Captain,India,Modric Luka,Mbappe Kylian,De Bruyne Kevin
Captain,IR Iran,Salah Mohamed,Modric Luka,Mbappe Kylian
Captain,Iraq,Mbappe Kylian,Hazard Eden,Modric Luka
Captain,Israel,Modric Luka,Mbappe Kylian,Varane Raphael
Captain,Italy,Cristiano Ronaldo,Modric Luka,Salah Mohamed
Captain,Jamaica,Mbappe Kylian,Messi Lionel,Salah Mohamed
Captain,Japan,Modric Luka,Cristiano Ronaldo,Griezmann Antoine
Captain,Jordan,Cristiano Ronaldo,Salah Mohamed,Hazard Eden
Captain,Kazakhstan,Modric Luka,Mbappe Kylian,Cristiano Ronaldo
Captain,Korea DPR,Cristiano Ronaldo,Messi Lionel,Griezmann Antoine
Captain,Korea Republic,Modric Luka,Cristiano Ronaldo,Mbappe Kylian
Captain,Kosovo,Modric Luka,Cristiano Ronaldo,Mbappe Kylian
Captain,Kyrgyz Republic,Cristiano Ronaldo,Modric Luka,Messi Lionel
Captain,Laos,Mbappe Kylian,Modric Luka,Hazard Eden
Captain,Latvia,Mbappe Kylian,Modric Luka,Cristiano Ronaldo
Captain,Lebanon,Messi Lionel,Salah Mohamed,Mbappe Kylian
Captain,Liechtenstein,Modric Luka,Cristiano Ronaldo,Salah Mohamed
Captain,Lithuania,Modric Luka,Cristiano Ronaldo,Hazard Eden
Captain,Luxembourg,Modric Luka,Salah Mohamed,Cristiano Ronaldo
Captain,Macau,Modric Luka,Salah Mohamed,Cristiano Ronaldo
Captain,Madagascar,Cristiano Ronaldo,Mbappe Kylian,Hazard Eden
Captain,Malawi,Cristiano Ronaldo,Messi Lionel,Mbappe Kylian
Captain,Maldives,Messi Lionel,Cristiano Ronaldo,Modric Luka
Captain,Mali,Modric Luka,Mbappe Kylian,Hazard Eden
Captain,Malta,Hazard Eden,Modric Luka,Kane Harry
Captain,Mauritania,Salah Mohamed,Varane Raphael,De Bruyne Kevin
Captain,Mauritius,Varane Raphael,Mbappe Kylian,Cristiano Ronaldo
Captain,Mexico,Modric Luka,Messi Lionel,Griezmann Antoine
Captain,Moldova,Modric Luka,Mbappe Kylian,De Bruyne Kevin
Captain,Mongolia,Salah Mohamed,Modric Luka,Cristiano Ronaldo
Captain,Montenegro,Modric Luka,Mbappe Kylian,Messi Lionel
Captain,Montserrat,Modric Luka,De Bruyne Kevin,Hazard Eden
Captain,Morocco,Cristiano Ronaldo,Salah Mohamed,Modric Luka
Captain,Mozambique,Messi Lionel,Cristiano Ronaldo,Modric Luka
Captain,Myanmar,Modric Luka,Hazard Eden,Griezmann Antoine
Captain,Namibia,Cristiano Ronaldo,Hazard Eden,Messi Lionel
Captain,Nepal,Cristiano Ronaldo,De Bruyne Kevin,Griezmann Antoine
Captain,Netherlands,Salah Mohamed,De Bruyne Kevin,Mbappe Kylian
Captain,New Caledonia,Modric Luka,Cristiano Ronaldo,Varane Raphael
Captain,New Zealand,Cristiano Ronaldo,Messi Lionel,Varane Raphael
Captain,Niger,Cristiano Ronaldo,Messi Lionel,Mbappe Kylian
Captain,Nigeria,Messi Lionel,Mbappe Kylian,Modric Luka
Captain,Northern Ireland,Salah Mohamed,Modric Luka,Cristiano Ronaldo
Captain,Norway,Messi Lionel,Cristiano Ronaldo,Modric Luka
Captain,Oman,Cristiano Ronaldo,Messi Lionel,Modric Luka
Captain,Pakistan,Mbappe Kylian,Modric Luka,Griezmann Antoine
Captain,Palestine,Salah Mohamed,Messi Lionel,Modric Luka
